,mean_VaR,median_VaR,min_VaR,max_VaR
historical_cvar (rho=0),0.04463290552573393,0.0470640072583163,0.0168427043344316,0.0647077588835214
regime_cvar (rho=0.5),0.04470005946965338,0.0470640075593318,0.0171677902666726,0.0698251073315503
regime_cvar (rho=1.0),0.04406625261773131,0.0451718583607391,0.017194340441299,0.0698251081160959
regime_cvar (rho=2.0),0.04319079894684876,0.0423147988308547,0.0167779854136815,0.0911095739889068
regime_cvar (rho=3.0),0.04171722873222454,0.0385408348721122,0.0100954218130868,0.0889100387661087
