regime,strategy,n_months,mean_monthly_return,monthly_vol,ann_return_in_regime
dollar_strength,equal_weight,56,0.003004582350700827,0.04715318631175666,0.036054988208409924
dollar_strength,cap_weighted,56,-0.002658656002354478,0.046526025575627156,-0.03190387202825373
dollar_strength,min_variance,56,0.0024689959493831145,0.04161032655500879,0.029627951392597374
dollar_strength,mean_variance,56,0.0006156704446416766,0.05221402805072526,0.007388045335700119
dollar_strength,risk_parity,56,0.003083735854603183,0.04434112943064459,0.037004830255238194
dollar_strength,momentum,56,0.005701954122546075,0.042655503173735315,0.0684234494705529
dollar_strength,historical_cvar,56,0.0032699277380429308,0.046164423161581494,0.03923913285651517
dollar_strength,regime_cvar_rho1.0,56,0.0018094115443050836,0.04686855993273229,0.021712938531661
rate_shock,equal_weight,14,0.009108735774189494,0.02684619167659498,0.10930482929027392
rate_shock,cap_weighted,14,0.01036383847698615,0.030552038141103896,0.1243660617238338
rate_shock,min_variance,14,0.0029974551459529424,0.023636982020052964,0.03596946175143531
rate_shock,mean_variance,14,0.0009398539090963354,0.03126056171961675,0.011278246909156023
rate_shock,risk_parity,14,0.00669832235583548,0.023977992532466647,0.08037986827002576
rate_shock,momentum,14,0.014212147252353988,0.03766153646990163,0.17054576702824786
rate_shock,historical_cvar,14,0.0004742873814304929,0.021300170566837855,0.005691448577165915
rate_shock,regime_cvar_rho1.0,14,0.001449967233671178,0.02211189449107492,0.017399606804054137
risk_off,equal_weight,71,0.014676440824476576,0.04873211784929887,0.17611728989371891
risk_off,cap_weighted,71,0.018208670579450567,0.05127815308371539,0.2185040469534068
risk_off,min_variance,71,0.0105916408676368,0.04059106709187015,0.1270996904116416
risk_off,mean_variance,71,0.013441072329158442,0.053056513444351944,0.1612928679499013
risk_off,risk_parity,71,0.013241422809344419,0.04419528521192956,0.15889707371213302
risk_off,momentum,71,0.009467212382757157,0.04302899281679497,0.11360654859308589
risk_off,historical_cvar,71,0.011191329687509828,0.04307323918248075,0.13429595625011795
risk_off,regime_cvar_rho1.0,71,0.009910361193031864,0.04103490789675784,0.11892433431638237
tranquil,equal_weight,124,0.01099941834277803,0.028958479934236673,0.13199302011333636
tranquil,cap_weighted,124,0.006514928645371955,0.0367664529263735,0.07817914374446347
tranquil,min_variance,124,0.0112564794251424,0.02923694620031652,0.1350777531017088
tranquil,mean_variance,124,0.010319995428929425,0.03371229630622517,0.1238399451471531
tranquil,risk_parity,124,0.011109735824410778,0.027911324726580332,0.13331682989292934
tranquil,momentum,124,0.011630505654807617,0.03683754157573282,0.1395660678576914
tranquil,historical_cvar,124,0.012681777090800426,0.03036100470212597,0.1521813250896051
tranquil,regime_cvar_rho1.0,124,0.01258308852735843,0.02974884303096813,0.15099706232830118
unclassified,equal_weight,52,0.005594115347042531,0.04006368033788487,0.06712938416451038
unclassified,cap_weighted,52,0.011738623590674617,0.04596602799725573,0.1408634830880954
unclassified,min_variance,52,0.004258618819532739,0.03355093245356883,0.05110342583439287
unclassified,mean_variance,52,0.00764742935113194,0.0440066581165006,0.09176915221358328
unclassified,risk_parity,52,0.004989369673958102,0.03651182950207436,0.05987243608749722
unclassified,momentum,52,0.0037983558874406156,0.037307549846717664,0.04558027064928739
unclassified,historical_cvar,52,0.00612072071591913,0.03162747177903256,0.07344864859102956
unclassified,regime_cvar_rho1.0,52,0.0066893865728030865,0.03226229567397361,0.08027263887363703
