strategy,dollar_strength,rate_shock,risk_off,tranquil,unclassified
cap_weighted,-0.002658656002354478,0.01036383847698615,0.018208670579450567,0.006514928645371955,0.011738623590674617
equal_weight,0.003004582350700827,0.009108735774189494,0.014676440824476576,0.01099941834277803,0.005594115347042531
historical_cvar,0.0032699277380429308,0.0004742873814304929,0.011191329687509828,0.012681777090800426,0.00612072071591913
mean_variance,0.0006156704446416766,0.0009398539090963354,0.013441072329158442,0.010319995428929425,0.00764742935113194
min_variance,0.0024689959493831145,0.0029974551459529424,0.0105916408676368,0.0112564794251424,0.004258618819532739
momentum,0.005701954122546075,0.014212147252353988,0.009467212382757157,0.011630505654807617,0.0037983558874406156
regime_cvar_rho1.0,0.0018094115443050836,0.001449967233671178,0.009910361193031864,0.01258308852735843,0.0066893865728030865
risk_parity,0.003083735854603183,0.00669832235583548,0.013241422809344419,0.011109735824410778,0.004989369673958102
