,var_estimate
2000-03-01,0.031699778171269004
2000-04-01,0.0490680576941406
2000-05-01,0.05670515300970565
2000-06-01,0.050438891105188226
2000-07-01,0.05205989950679101
2000-08-01,0.04872097964165814
2000-09-01,0.04872097993602519
2000-10-01,0.048720979481400584
2000-11-01,0.04872097959192287
2000-12-01,0.048720979659901235
2001-01-01,0.0487209796733941
2001-02-01,0.04872097953781082
2001-03-01,0.04872097949427754
2001-04-01,0.050835295471877394
2001-05-01,0.05083529545119742
2001-06-01,0.05083529650629413
2001-07-01,0.05083529544305943
2001-08-01,0.05083529548175466
2001-09-01,0.05083529506645265
2001-10-01,0.05677723348138216
2001-11-01,0.056777230073623924
2001-12-01,0.05677723079495698
2002-01-01,0.05677722994815251
2002-02-01,0.056777229817574285
2002-03-01,0.05677723082010223
2002-04-01,0.05677723046101417
2002-05-01,0.05677723033933507
2002-06-01,0.05677722984671216
2002-07-01,0.05677722989065689
2002-08-01,0.05677722970868114
2002-09-01,0.05677722980613655
2002-10-01,0.045727615822460786
2002-11-01,0.06470775888352145
2002-12-01,0.06454799320720198
2003-01-01,0.06454799332626766
2003-02-01,0.06454799332639714
2003-03-01,0.06454799333151202
2003-04-01,0.0645479927087389
2003-05-01,0.06454799270483827
2003-06-01,0.06454799272537658
2003-07-01,0.06454799274049111
2003-08-01,0.0645479928733242
2003-09-01,0.06454799333470247
2003-10-01,0.049516435740850503
2003-11-01,0.0515320179503545
2003-12-01,0.05239885641452888
2004-01-01,0.05231207964622495
2004-02-01,0.05231207964120001
2004-03-01,0.05231207964187739
2004-04-01,0.052312079635607384
2004-05-01,0.052312079642353584
2004-06-01,0.05231207965692761
2004-07-01,0.05231207962485801
2004-08-01,0.05231207962797784
2004-09-01,0.05231207962484103
2004-10-01,0.05231207961915909
2004-11-01,0.05231207963411098
2004-12-01,0.05231207961818021
2005-01-01,0.052312079618687314
2005-02-01,0.05231207962254579
2005-03-01,0.052312079416228265
2005-04-01,0.04434484262870672
2005-05-01,0.0400012040438231
2005-06-01,0.044315423173527754
2005-07-01,0.04520227009385424
2005-08-01,0.045202269783783756
2005-09-01,0.045202269833611836
2005-10-01,0.04520226984458507
2005-11-01,0.04520226984170746
2005-12-01,0.04520226980236751
2006-01-01,0.045202269789671574
2006-02-01,0.04520226977152434
2006-03-01,0.04520226960444587
2006-04-01,0.045202269686431
2006-05-01,0.03868969061113482
2006-06-01,0.03238336231225856
2006-07-01,0.028787930794080853
2006-08-01,0.026049506521382514
2006-09-01,0.026049499560439688
2006-10-01,0.02604949952977637
2006-11-01,0.026049499490019935
2006-12-01,0.026049499515264633
2007-01-01,0.026049499483134356
2007-02-01,0.026049499426482204
2007-03-01,0.026049499442165468
2007-04-01,0.026049499381171067
2007-05-01,0.02604949937754001
2007-06-01,0.0260494993273884
2007-07-01,0.026049499318831916
2007-08-01,0.025555390773697853
2007-09-01,0.022797844658211875
2007-10-01,0.022759526355079097
2007-11-01,0.01953835135428006
2007-12-01,0.01839743702165015
2008-01-01,0.01833318423046074
2008-02-01,0.016842704334431628
2008-03-01,0.020160865306041276
2008-04-01,0.01909816224824761
2008-05-01,0.01815495651447348
2008-06-01,0.01732707072239314
2008-07-01,0.016986372546115198
2008-08-01,0.01888491281656726
2008-09-01,0.02123884582201346
2008-10-01,0.02248918749692557
2008-11-01,0.02109806314960933
2008-12-01,0.02352469290874066
2009-01-01,0.02683215012812569
2009-02-01,0.026832150436862157
2009-03-01,0.03946715032519212
2009-04-01,0.054436891407709534
2009-05-01,0.0477648177500109
2009-06-01,0.04706400828140452
2009-07-01,0.047064008280206356
2009-08-01,0.04706400779742366
2009-09-01,0.04706400749718765
2009-10-01,0.047064007400501595
2009-11-01,0.0470640073854774
2009-12-01,0.04706400725831631
2010-01-01,0.04706400735644001
2010-02-01,0.04706401129885175
2010-03-01,0.047064008068253234
2010-04-01,0.04706400813058019
2010-05-01,0.04706400823519736
2010-06-01,0.04003593941408183
2010-07-01,0.04543354599410684
2010-08-01,0.049452888852309654
2010-09-01,0.05063909513866089
2010-10-01,0.050639091420037266
2010-11-01,0.05063909269828449
2010-12-01,0.05063909460878301
2011-01-01,0.05063909432715395
2011-02-01,0.050639091267859974
2011-03-01,0.05063909130080035
2011-04-01,0.050639091090503865
2011-05-01,0.05063909116137599
2011-06-01,0.05063909122487353
2011-07-01,0.0506390911325334
2011-08-01,0.05063909120359479
